aba,feature,veredito,sinal,sinal_espera,sinal_escopo,gtk_onde,html_onde,gtk_faz,html_faz,porque
02-controles,"Linha da verdade — ""o que chega ao jogo""",FALTA_NO_HTML,resumo_do_que_chega_ao_jogo,AUSENTE,LADO-HTML,src/hefesto_dualsense4unix/app/widgets/controller_card.py:1729 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:5017,,Monta a frase por recurso (chegando / pararam / sem pedido ainda) e as duas frases de exceção de Nativo e máscara Xbox.,Nada. Nenhum pacote monta esta frase.,"Falta, mas NÃO é dívida de migração: na GTK ela também não está na tela desde 17/08/2026, por decisão dela (""remover guia dos status em tempo real"") — o widget é criado e alimentado e nunca empacotado (controller_card.py:2896). Reconstruí-la no HTML seria reintroduzir o que ela mandou tirar. || CONFIRMADO em 06/09/2026 — CONTROLES-VERDADE-01, e a sprint que pedia esta linha teve o enunciado derrubado pela medição: `controller_card.py:2916` diz que ela é criada, alimentada e NUNCA empacotada desde 17/08, e `:2770` que a decisão é dela e não se apaga. Quem ocupa aquele lugar na GTK é o `_motion_label` — a linha 55, que foi o que entrou. Há régua que impede a volta: `test_a_linha_da_verdade_continua_fora_do_cartao`. Continua FALTA_NO_HTML porque a GTK ainda MONTA a frase e o HTML não a monta; o que ela NÃO é, é dívida a pagar."
02-controles,"Guarda ""sem endereço"" — desligar o som do card quando não há MAC",FALTA_NO_HTML,_pecas_que_escrevem_som,AUSENTE,LADO-HTML,src/hefesto_dualsense4unix/app/widgets/controller_card.py:5294 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:5322 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:5365,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:787 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:859,"Sem `uniq`, deixa insensíveis as cinco peças que MANDAM som (botão do mic, os dois deslizantes, mudo e devolução do alto-falante, e o seletor de canal), põe a dica nas duas molduras e acende um aviso visível. A leitura fica ligada de propósito.","Só a segunda tranca: os gestos levantam `ValueError` quando o clique não trouxe controle (a02:859, :979, :1098). Nenhuma peça fica cinza e não há aviso.","O que falta é a metade VISÍVEL. Sem endereço, `mic.set`/`speaker.set` caem no controle primário — o card do Controle 2 aplicando no Controle 1, que foi o estrago medido em 04/08/2026. O HTML recusa depois do clique; a GTK impede antes e diz por quê. || DECIDIDO em 04/09/2026 — O botão apaga e a dica diz por quê. É a D-03 aplicada a esta aba. Onde está escrito: `docs/process/2026-09-04-O-PO-DECIDE-as-54-e-os-sete-conflitos.md` §2 `02[04]`, sobre a pergunta [04] de `docs/process/sprints/2026-09-04-DECISOES-DELA-02-controles.md`. Não espera mais palavra dela. || CONSTRUÍDA E NÃO PUBLICADA — 06/09/2026, CONTROLES-OS-TRES-SELOS-01, conferida pela PARIDADE-REMEDIR-02. A metade VISÍVEL nasceu: sem `uniq`, as peças que MANDAM som esmaecem e os dois `?` dizem a razão, pelo endereço `som-sem-endereco` (`a02_controles.py:2663`, `aba02.py:2241`). Contado: 4 ocorrências na bancada, ZERO no publicado. Espera o `--publicar 02`, que é ato dela."
02-controles,"Confissão ""o microfone em que mexi não é o deste card""",DIFERENTE,frase_do_alvo_do_mic,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:2191 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:4460 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:2708,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:3200 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:3190 · src/hefesto_dualsense4unix/interface/pacotes/ponte.py:99,"Lê `ipc_bridge.alvo_honrado` (três estados) e, quando o daemon diz que o pedido caiu na rota global, acende a tarja `TEXTO_MIC_ALVO_NAO_HONRADO` no corpo do card.","O deslizante do microfone lê os TRÊS estados: `frase_do_alvo_do_mic(alvo_honrado(corpo))` sobre o `mic_volume_set_detalhado`, e a confissão sobe pelo canal da recusa (`RuntimeError`), que é o único caminho que deposita frase no cartão DAQUELE controle — a decisão [08] com todas as letras. O gesto do MUDO usa a outra frase do dono (`frase_do_ato_do_microfone`, qual metade faltou) e não a do alvo.","Na mesa cheia, um mudo que caiu no controle de outra pessoa aparece no HTML como sucesso — a tela pinta o selo do card certo e o microfone que calou foi outro. || DECIDIDO em 04/09/2026 — Vira aviso no cartão, como as recusas. Onde está escrito: `docs/process/2026-09-04-O-PO-DECIDE-as-54-e-os-sete-conflitos.md` §2 `02[08]`, sobre a pergunta [08] de `docs/process/sprints/2026-09-04-DECISOES-DELA-02-controles.md`. Não espera mais palavra dela. || REMEDIDA em 06/09/2026 pela PARIDADE-REMEDIR-01. O `bool` que guardava dois estados virou os três em 06/09: `mic_volume_set_detalhado` + `alvo_honrado` (`ponte.py:99`). DIFERENTE e não IGUAL por DUAS razões medidas: o canal é outro (tarja no corpo do cartão lá; recado da recusa aqui, como ela decidiu) e a cobertura é PARCIAL — só o volume do microfone confessa; o botão de mudo ainda não lê `alvo_honrado`."
02-controles,"""—"" honesto quando não há leitor de inputs para o controle",IGUAL,leitura_viva,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:5481 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:5489,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:333 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:356 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:376,"Esconde a área de inputs inteira e mostra `—`, e ainda ZERA tudo: barras de gatilho a 0/255, analógicos ao centro, os 16 glifos apagados, giroscópio/acelerômetro/touchpad escondidos, microfone e alto-falante ao ""não sei"".","`leitura_viva` devolve o REPOUSO quando `inputs` não é dicionário: gatilhos em `0 / 255` com a barra vazia, analógicos no centro (128), os dezesseis glifos apagados e os seis eixos no travessão — mais o `l3`, `r3` e `touch-estado` que já diziam `—`.","03/09/2026 — REMEDIDA e FECHADA. É o `_reset_inputs_render` da GTK (`controller_card.py:5489`) item por item: as duas barras a zero com `0 / 255`, os dois analógicos em `_markup_xy(128, 128)`, os glifos apagados, os sensores limpos. || O QUE CONTINUA DIFERENTE é só o gesto do 'não sei': a GTK ESCONDE a área de inputs e mostra um `—` no lugar dela; o HTML deixa os campos à vista, cada um dizendo o seu travessão. As duas recusam afirmar. || O que isto custava valia para METADE da mesa dela: o daemon só publica `inputs` para o `is_primary`, e o card do outro controle mostrava três glifos acesos, L2 em 200/255 e o giroscópio em +143.2 — leitura de um aparelho que ninguém estava lendo."
02-controles,"Touchpad — a palavra (""Sem toque"" / ""1 toque"")",IGUAL,touchpad_do_inputs,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:5068 · src/hefesto_dualsense4unix/app/widgets/sensor_widgets.py:226,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:193 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1475,"`texto_toques(1 if tocando else 0)` a partir de `touchpad_do_inputs`; sem bloco, esconde a moldura inteira.","`toque_do_controle` usa o MESMO `touchpad_do_inputs` e o MESMO `texto_toques`, com a mesma conta `1 if tocando else 0`; sem leitura escreve `—`. Medido vivo: `""—""` nos dois (os dois `inputs` estavam sem a chave `touchpad` no instante da sonda).","Um dono só, o do produto, chamado dos dois lados. A única diferença é o gesto do ""não sei"": a GTK esconde a moldura, o HTML escreve travessão — as duas recusam afirmar, e ela decidiu o travessão para todo campo sem informação."
02-controles,Touchpad — o pontinho e a POSIÇÃO do dedo,DIFERENTE,"data-campo=""touch-ponto""",PRESENTE,src/hefesto_dualsense4unix/interface/paginas/02-controles.html,src/hefesto_dualsense4unix/app/widgets/controller_card.py:5077 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:1913,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:214 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:1144 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1571,"`set_toque((fx, fy) if tocando else None)` — a posição normalizada pelos limites que o próprio payload declara; sem toque, ponto nenhum.","O `touch-ponto` existe na página publicada e o pacote o emite: `toque_do_controle` acende o pontinho com toque e o APAGA sem toque (alvo `classe`). A POSIÇÃO continua fora — o piloto único não tem alvo de posição, e o `left/top` do desenho segue cravado.","03/09/2026 — METADE FECHADA. A metade que fechou é a que ela pediu no item 15: *""o pontinho do touchpad só aparece quando há toque""* — antes ele ficava aceso com `touching` falso, contra o que a dica do próprio campo promete. || A metade que falta é a POSIÇÃO, e ela não é desta aba: `touchpad_do_inputs` já devolve `fx`/`fy`, e o que não existe é um alvo de posição no piloto (os sete são texto·largura·fundo·valor·html·classe·cor). Enquanto ele não existir, o dedo não se move na tela."
02-controles,Barra de luz — o código hexadecimal da cor,DIFERENTE,#0000FF,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:4958 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:2222,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:299 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:553 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1481,"Escreve `rgb_para_hex(cru)` sempre que houver `lightbar_rgb`, com a RESSALVA ao lado (o rótulo de estado); cor desconhecida esconde o bloco em vez de pintar preto.","Decide pelo RÓTULO que o motor devolve: `#RRGGBB` só no ramo ""cor conhecida e acesa"", `#000000` para ""apagada"", travessão nos três ""não sei"" (Nativo, Steam segurando, fonte desconhecida). Medido vivo: `#0000FF` e `#FF0000`.","Nos ramos ""Em Nativo o jogo é dono do LED"" e ""A Steam tem este controle aberto"" a base é o rgb CRU, que com fonte desconhecida é [0,0,0]: a GTK mostra a cor COM a ressalva ao lado, o HTML recusa dizer porque a ressalva não tem endereço. **Diferente-para-melhor no HTML** nesses três ramos; e no ramo ""apagada"" é o inverso — a GTK esconde o bloco, o HTML escreve `#000000`, que é o que uma barra sem corrente emite. || DECIDIDO em 04/09/2026 — Palavra curta no lugar do travessão, frase inteira no hover. As quatro palavras: `Jogo` · `Steam` · `Não sei` · `Apagada`. Onde está escrito: `docs/process/2026-09-04-O-PO-DECIDE-as-54-e-os-sete-conflitos.md` §2 `02[02]`, sobre a pergunta [02] de `docs/process/sprints/2026-09-04-DECISOES-DELA-02-controles.md`. Não espera mais palavra dela."
02-controles,Barra de luz — o retângulo colorido,DIFERENTE,_cor_da_barra,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:4965,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:667 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:1193 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1577,`self._lightbar_bar.set_cor(cru)` com a cor viva; `None` esconde o bloco.,"`_cor_da_barra` pinta o retângulo com a MESMA resposta do motor que decide o `luz-hex` (alvo `cor`, sobre `background:currentColor`): a cor no ramo conhecido, preto no ramo apagado, e VAZIO nos três ""não sei"", que devolve o retângulo à folha de estilo.","03/09/2026 — FECHADA a contradição, e ela era o achado mais visível desta aba: o campo dizia `#0000FF` e o retângulo logo abaixo estava em `#7EB8D4`, a cor do mockup. Medido na tela dela em 03/09: o campo diz `—` e o retângulo está apagado — os dois dizem a MESMA coisa. || DIFERENTE e não IGUAL, pela mesma razão da feature irmã (`luz-hex`): nos ramos ""Em Nativo o jogo é dono do LED"" e ""A Steam segura"" a GTK mostra a cor CRUA com a ressalva ao lado, e o HTML recusa dizer porque a ressalva não tem endereço na página. || SAI DO BALDE DESENHO em 04/09/2026, sem virar pergunta: O próprio CSV já registrava o fecho em 03/09: campo e retângulo saem da mesma resposta do motor. O que sobrava — a ressalva sem endereço — virou a decisão `02`[02]. Registrado em `docs/process/sprints/2026-09-04-DECISOES-DELA-02-controles.md`, seção 'Não são decisão dela'."
02-controles,Barra de luz — o rótulo das quatro situações,DIFERENTE,luz_palavra,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:1145 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:4939,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:932 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:1917 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:2220 · src/hefesto_dualsense4unix/interface/aba02.py:1968,"Mostra a frase que o motor devolve: ""Em Nativo o jogo é dono do LED"", ""A Steam tem este controle aberto"", ""Lightbar: cor desconhecida"", ""Lightbar: apagada""; sem rótulo, esconde.","As QUATRO palavras curtas dela ocupam o lugar do travessão — `Jogo` · `Steam` · `Não sei` · `Apagada` (`PALAVRA_DA_LUZ`, e o ""não sei"" não é digitado: é `pacotes.NOME_SEM_LEITURA`, a mesma da fita do topo) —, e a frase INTEIRA do motor vai para o `title` da linha (`luz-porque`, alvo `atributo`).","É a metade que explica a outra. Sem ela o HTML tem de escolher entre mostrar uma cor sem ressalva (mentira) e mostrar travessão (o que ele faz). Qual palavra curta cabe ali é decisão dela — o desenho é dela. || DECIDIDO em 04/09/2026 — Palavra curta no lugar do travessão, frase inteira no hover. As quatro palavras: `Jogo` · `Steam` · `Não sei` · `Apagada`. Onde está escrito: `docs/process/2026-09-04-O-PO-DECIDE-as-54-e-os-sete-conflitos.md` §2 `02[02]`, sobre a pergunta [02] de `docs/process/sprints/2026-09-04-DECISOES-DELA-02-controles.md`. Não espera mais palavra dela. || REMEDIDA em 06/09/2026 pela PARIDADE-REMEDIR-01, com os dois endereços lidos no código. A objeção de largura que a célula registrava (""Lightbar: apagada"" ocupa 86,7px e QUEBRA a linha) foi resolvida pela decisão `02[02]` dela — palavra curta na tela, frase no hover — e a decisão está EXECUTADA. DIFERENTE e não IGUAL porque a GTK mostra a frase inteira e o HTML mostra uma palavra: a informação chega, o tamanho não é o mesmo."
02-controles,"Accent do card — a cor viva tinge analógicos, glifos e barras de gatilho",DIFERENTE,--plastico,PRESENTE,src/hefesto_dualsense4unix/interface/paginas/02-controles.html,src/hefesto_dualsense4unix/app/widgets/controller_card.py:4946 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:2211,src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1427,"`ensure_min_contrast` sobre a base da lightbar e propaga a UM só lugar: os dois sticks, os 16 glifos, as duas ProgressBar de L2/R2 e os títulos dos analógicos.","A variável CSS `--plastico` é a cor do MODELO, escrita pelo gerador no `style` do `.ctl` e nunca repintada.","O card da GTK muda de cor junto com a barra de luz do aparelho — é o que faz reconhecer de relance qual card é qual controle na mesa de quatro. O HTML colore pelo casco, que é estável mas não é o que a barra está mostrando. || FECHADA POR DECISÃO em 04/09/2026, não por dívida: A D-06 já dá lugar à cor viva — o anel interno do cartão (sprint S-11). Não é dívida nova: abrir um segundo canal para o mesmo fato é o que a regra UM FATO, UM SINAL recusa. É o conflito C-1: a lista da aba propunha um pingo vivo no cabeçalho do card; a D-06 dá o anel interno, e a decisão DELA ganha. Onde está escrito: `docs/process/2026-09-04-O-PO-DECIDE-as-54-e-os-sete-conflitos.md` §2 `02[01]`, sobre a pergunta [01] de `docs/process/sprints/2026-09-04-DECISOES-DELA-02-controles.md`. Não espera mais palavra dela."
02-controles,LED do jogador — as cinco lâmpadas,SO_NO_HTML,player_slot_color,PRESENTE,src/hefesto_dualsense4unix/interface/paginas/02-controles.html,,src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1484,Não existe. O card não desenha o padrão das lâmpadas.,"Uma moldura própria com `.luzinhas`, no padrão do jogador, derivada do número. Sem `data-campo` nenhum: o padrão desenhado é o do P1 do mockup, e vale para todo card.","Ganho de desenho — a informação existe (`player_slot`) e a GTK nunca a mostrou assim. Registro para ninguém remover achando que é sobra. Mas hoje é bloco morto: o P2 mostra o padrão do P1. · SINAL CORRIGIDO EM 06/09/2026: era `player_slot`, que NÃO EXISTE sozinho na página — só dentro de `player_slot_color`. A régua o dava por presente por casar SUBSTRING, e esta linha nunca mordeu desde que nasceu. Apareceu quando a régua ganhou borda de palavra; o símbolo que a página usa é `player_slot_color`, o dono da paleta em core/led_control."
02-controles,Analógicos — a posição do ponto e os números X/Y,DIFERENTE,_markup_xy,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:5402 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:994,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:299 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:376 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1594,"`stick.update(lx, ly)` move o ponto e `_markup_xy(lx, ly)` escreve os dois números, com diff por eixo.","Os NÚMEROS andam: `texto_do_xy` chama o `_markup_xy` do produto e a página recebe por `data-campo=""xy-l""`/`""xy-r""` no alvo `html`. Medido na tela dela em 03/09: `X:125 / Y:121` e `X:128 / Y:126`, os valores do daemon. O PONTO continua no `left/top` que o mockup cravou.","03/09/2026 — REMEDIDA. Metade fechou: a frase dos dois eixos tem um dono só, o da GTK, e chega à tela. || A outra metade é a MESMA que falta ao pontinho do touchpad, e pela mesma causa: o piloto único não tem alvo de POSIÇÃO. Não é dívida desta aba nem do pacote — é do pintor, e enquanto ele não a tiver, os dois analógicos ficam parados no desenho enquanto ela os move."
02-controles,Clique dos analógicos (L3 / R3),DIFERENTE,portao_a_casa_sabe_e_o_produto_,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:5453 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:5471,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:239 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:614 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1496 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1503,`set_l3_pressed` no desenho do stick e pinta o TÍTULO do analógico com o accent do controle enquanto apertado.,"Troca o TEXTO do rótulo dentro do círculo: `L3` → `[L3]`. Sem leitor, `—`. Medido vivo: `""L3""` no P1 e `""—""` no P2.","A GTK muda a COR, o HTML muda o TEXTO — e a razão está escrita e caducou: o alvo `cor` entrou no piloto em 02/09 (hefesto_vivo.py:246), e o que falta agora não é o alvo, é a palavra dela sobre trocar `[L3]` por cor. O `.rotl` é JetBrains Mono 26px num círculo de 100px: cabem quatro caracteres. || DECIDIDO em 04/09/2026 — Fica `[L3]`. Onde está escrito: `docs/process/2026-09-04-O-PO-DECIDE-as-54-e-os-sete-conflitos.md` §2 `02[10]`, sobre a pergunta [10] de `docs/process/sprints/2026-09-04-DECISOES-DELA-02-controles.md`. Não espera mais palavra dela."
02-controles,"Os 16 glifos acesos, com L2/R2 por limiar",IGUAL,ALL_BUTTONS,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:5425,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:356 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:359 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1610,"Acende cada glifo por `nome in buttons_pressed`, acrescenta `l2`/`r2` por limiar (`l2_raw > L2_R2_THRESHOLD`) e aplica o remendo `create`→`share` do daemon.","`leitura_viva` acende por `nome in buttons_pressed` sobre os MESMOS `ALL_BUTTONS`, aplica o mesmo remendo `create`→`share` e o mesmo `L2_R2_THRESHOLD`; os 16 `<span class=""gb"">` ganharam `data-campo=""glifo-*""` com `data-hef-alvo=""classe""`.","03/09/2026 — REMEDIDA e FECHADA. A linha anterior dizia DIFERENTE e pedia a remedição: o símbolo tinha aparecido no lado HTML e ninguém tinha conferido o COMPORTAMENTO. Conferido agora, item por item: mesma lista de nomes, mesmo limiar, mesmo remendo de nome, e o mesmo desfecho sem leitor (os dezesseis apagados, que é o `_reset_inputs_render`). Medido na tela dela em 03/09 com o controle parado: zero glifos acesos — antes o desenho mantinha `cross`, `dpad_up` e `l2` acesos para sempre. || O QUE NÃO ENTRA AQUI é a COR do glifo, que a GTK tinge com o accent do controle: aquilo é a feature 'Accent do card', e continua DIFERENTE."
02-controles,Gatilhos — a barra e o número (N / 255) de L2 e R2,IGUAL,"f""{cru} / 255""",PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:5391,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:367 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1855 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1857,"`set_fraction(l2/255)` e `set_text(f""{l2} / 255"")` nas duas barras, com diff por gatilho.","Emite `l2-num`/`r2-num` com a frase da GTK (`f""{cru} / 255""`) e `l2-barra`/`r2-barra` com a mesma fração em por cento; a página ganhou os quatro `data-campo`, com `data-hef-alvo=""largura""` na barra. Medido na tela dela em 03/09: `0 / 255` nos dois, com o dedo fora.","03/09/2026 — FECHADA. A linha anterior dizia FALTA_NO_HTML e apontava a causa certa: *""o dado está a UM `.get` do `state_full` e a página não tem onde pô-lo""* — `data-gatilho` é o quinto vocabulário e o piloto único não o lê. A página ganhou `data-campo`, e os dois gatilhos passaram a andar. || A conta da barra é `cru * 100 // 255` contra o `set_fraction(l2/255)` da GTK: a mesma fração, em inteiro, porque o `style` recebe por cento e um `22.35%` seria um dígito a mais no DOM a cada tique."
02-controles,Giroscópio — os três eixos (número e barra bipolar),IGUAL,ESCALA_GYRO_GRAUS_S,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:1862 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:3172 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:5037,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:309 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:377 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1823,"`gyro_do_inputs` → `GyroBars.set_valores(x,y,z)`, com escala em graus/s; sem leitura, limpa e ESCONDE a moldura.","`_eixos_do_sensor` chama `gyro_do_inputs`, escreve o número com `texto_eixo` (a grafia `+7.1f` de largura fixa, do produto) e a barra com `mesa_viva._barra_bipolar` na `ESCALA_GYRO_GRAUS_S`. Sem leitura: travessão no número e barra a zero. Medido na tela dela em 03/09: X -0.2 · Y -0.1 · Z +0.2, com o aparelho parado.","03/09/2026 — REMEDIDA e FECHADA. Mesmos donos nos dois lados: o mesmo leitor (`gyro_do_inputs`), a mesma grafia (`texto_eixo`) e a mesma escala. || O QUE CONTINUA DIFERENTE é o gesto do 'não sei': a GTK esconde a moldura, o HTML escreve travessão e zera a barra. As duas recusam afirmar, e ela decidiu o travessão para todo campo sem informação — é a mesma diferença que a feature 'Touchpad — a palavra' já registra como IGUAL. || Antes desta leva os três números do mockup (+143.2 / −412.0 / +22.8) ficavam na tela para sempre."
02-controles,Acelerômetro — os três eixos,IGUAL,ESCALA_ACCEL_G,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:1886 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:3203 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:5049,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:309 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:379 · src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1838,"`accel_do_inputs` → `GyroBars` com escala em g e duas casas decimais; sem leitura, esconde.","O MESMO `_eixos_do_sensor` do giroscópio, com `accel_do_inputs`, `texto_eixo_g` (duas casas) e `ESCALA_ACCEL_G`. Medido na tela dela em 03/09: X +0.11 · Y +0.94 · Z +0.22 — a gravidade.","03/09/2026 — REMEDIDA e FECHADA, pelas mesmas razões do giroscópio (a função é uma só, chamada duas vezes). Ela derrubou a premissa da remoção com todas as letras — *""não era pra ele sair. era pra ele FUNCIONAR""* — e agora ele funciona dos dois lados. || Antes desta leva os valores na tela (+0.105 / +0.976 / +0.170) eram os que o GERADOR mediu uma vez, no dia em que escreveu o arquivo."
02-controles,Microfone — o medidor de onda ao vivo,FALTA_NO_HTML,LeituraMic,AUSENTE,LADO-HTML,src/hefesto_dualsense4unix/app/widgets/controller_card.py:5082 · src/hefesto_dualsense4unix/app/mic_monitor.py:565,src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1644 · src/hefesto_dualsense4unix/interface/controles_vivos.py:1117,"`MicMeter.set_nivel(nivel)` a partir da `LeituraMic` do `MicMonitor` da própria janela (o microfone é o único sensor que NÃO vem pelo IPC); sem nível, limpa a onda e mantém o bloco.","`<span class=""onda"">` com 14 `<i>` de altura fixa. O `estado_do_card` aceita um `onda_mic`, mas o piloto de PRODUÇÃO (`hefesto_vivo.py`, o console script `hefesto-dualsense4unix-gui`) não instancia `MicMonitor` — ele só aparece em `interface/controles_vivos.py`, que é bancada.","Não é endereço que falta, é o LEITOR: nenhum processo do produto novo captura o áudio. A onda desenhada é decorativa, e o mesmo bloco desenha uma onda para o alto-falante (linha 1684) que também nunca foi lida por ninguém. || CONFERIDA em 06/09/2026 pela PARIDADE-REMEDIR-01 e MANTIDA: `MicMonitor` continua aparecendo só em `src/hefesto_dualsense4unix/interface/controles_vivos.py:1127`, que é bancada. O piloto de PRODUÇÃO não instancia leitor de áudio nenhum, e a onda desenhada segue decorativa."
02-controles,Microfone — o botão diz o que o clique vai fazer,DIFERENTE,acao_mic,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py,src/hefesto_dualsense4unix/app/widgets/controller_card.py:1982 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:5099 · src/hefesto_dualsense4unix/app/widgets/controller_card.py:5110,src/hefesto_dualsense4unix/interface/paginas/02-controles.html:1648 · src/hefesto_dualsense4unix/interface/pacotes/a02_controles.py:879,"Quatro estados com rótulo, sensibilidade e dica: ""Silenciar"", ""Ativar"", ""Liberar"", e ""sem dado"" INSENSÍVEL quando não há leitura de `audio`.","O 🎙 é um ícone fixo com `title` estático. O pacote consulta `acao_mic` **só na hora do clique**, para recusar; nada disso chega à tela antes.","A REGRA é a mesma e vem do mesmo dono — o HTML reusa `acao_mic` em vez de reescrevê-lo, e foi essa cura que matou o `bool(None)→mic_set(True)`. O que difere é a MOSTRA: o botão nunca fica cinza, nunca diz o que fará, e a recusa só aparece depois do clique (por 30 s, no cartão). || DECIDIDO em 04/09/2026 — O botão apaga e a dica diz por quê. É a D-03 aplicada a esta aba. Onde está escrito: `docs/process/2026-09-04-O-PO-DECIDE-as-54-e-os-sete-conflitos.md` §2 `02[04]`, sobre a pergunta [04] de `docs/process/sprints/2026-09-04-DECISOES-DELA-02-controles.md`. Não espera mais palavra dela."
