# O QUE AINDA APONTA PARA A JANELA GTK — inventário da sprint GTK-1 (06/09/2026)
#
# Decisão dela (D-0609-GTK-LEVA-INTEIRA): "a ideia sempre foi reaproveitar o que
# fiz no gtk e não apontar nada mais pra lá mas pro html". A frase inteira está
# em docs/process/sprints/2026-09-06-GTK-1-o-inventario-e-o-portao-que-impede-a-janela-de-crescer.md
#
# O QUE SAI É A JANELA. O QUE FICA É O MOTOR (app/actions/, app/widgets/,
# app/telas/, daemon/) — é o reuso que ela pediu.
#
# UMA LINHA POR (arquivo, alvo). `linhas` e `ocorrencias` são o que a varredura
# mediu; `ocorrencias` é o número que o portão congela — ESTA LISTA SÓ DIMINUI.
#
# O VEREDITO É SOBRE A CITAÇÃO, não sobre o arquivo (um arquivo pode ficar e a
# citação sair). Os três são os do plano D-19, Passo 4:
#   SAI-COM-A-JANELA    — mede ou monta a janela; some na GTK-3
#   MOTOR-MUDA-DE-CASA  — o alvo é motor (ou o citador fica): reaponta-se
#   NUNCA-DEVIA-CITAR   — é da interface nova e cita a janela; corrige-se aqui
#
# COMO SE CLASSIFICOU, e a regra tem duas metades:
#   1. ALVO QUE SOBREVIVE e só muda de endereço (gui.ponte_da_tela,
#      gui.aba_conexoes, gui.aba_sistema, gui.widgets.*, gui/theme.css) ->
#      MOTOR-MUDA-DE-CASA, seja quem for o citador. A exceção é o citador que
#      some junto com a janela.
#   2. ALVO QUE MORRE (gui/main.glade, app/app.py, app/main.py) -> classifica-se
#      por QUEM CITA: a janela e seus instrumentos SAEM; a interface nova
#      NUNCA-DEVIA-CITAR; o resto (motor, portão, empacotamento) MUDA DE CASA.
#
# O QUE ESTA VARREDURA COBRE: src/ tests/ scripts/ packaging/ flatpak/ e os
# arquivos soltos da raiz. NÃO cobre `docs/`, e a razão é medida: 233 documentos
# citam `main.glade` entre crases, 104 citam `app/app.py`, 36 citam `theme.css`
# e 16 citam `app/main.py`. Isso é prosa histórica, e esta casa não apaga
# registro datado — mas `scripts/validar-referencias-docs.py` varre `docs/`
# inteiro e reprova caminho que não existe (só ele: não lê `src/`). ENTÃO A
# GTK-3 HERDA 233 DOCUMENTOS VERMELHOS no portão `referencias-docs`, que esta
# casa levou a zero em 31/08 e 01/09. Não há atalho automático: ou os caminhos
# são declarados como históricos no portão, ou as 233 se reescrevem.
#
# A NATUREZA FOI MEDIDA COM `tokenize`, NÃO COM GREP, e o número é o argumento:
# das 255 linhas, 111 são PROSA pura (comentário ou docstring), 41 são só
# `import` e 85 tocam o artefato em CÓDIGO. Um grep chamaria as 255 de
# dependência, e a GTK-3 removeria o que não devia.
#
# Portão: scripts/check_nada_aponta_para_a_janela.py
arquivo,linhas,alvo,natureza,ocorrencias,pergunta_respondida,veredito,razao
scripts/dev-setup.sh,54,app/main.py,prosa,1,"quem cita? script, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/main.py` não: esta citação precisa de outra fonte, ou de reescrita"
scripts/ensaios/a_tela_nao_fica_nua.py,185,gui.ponte_da_tela,import,1,"quem cita? script; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.ponte_da_tela` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
scripts/ensaios/medir_guarda.py,20,gui.ponte_da_tela,import,1,"quem cita? script; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.ponte_da_tela` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
scripts/gerar-frases-de-tela.py,70,gui/main.glade,prosa,1,"quem cita? script, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
scripts/gui-captura/aba_ativa.sh,4,gui/theme.css,prosa,1,quem cita? instrumento/régua da janela GTK (script),SAI-COM-A-JANELA,"o alvo `gui/theme.css` fica de pé, mas quem cita some com a janela"
scripts/gui-captura/retratar_abas.py,406;2362;2373,app/app.py,import+prosa,3,"quem cita? a própria janela, ou instrumento que só existe para ela",SAI-COM-A-JANELA,o arquivo inteiro some na GTK-3; a citação vai junto
scripts/gui-captura/retratar_abas.py,209,gui/main.glade,código,1,"quem cita? a própria janela, ou instrumento que só existe para ela",SAI-COM-A-JANELA,o arquivo inteiro some na GTK-3; a citação vai junto
scripts/gui-captura/retratar_dialogos.py,96;138;173;185,gui/theme.css,código+prosa,4,quem cita? instrumento/régua da janela GTK (script),SAI-COM-A-JANELA,"o alvo `gui/theme.css` fica de pé, mas quem cita some com a janela"
scripts/gui-captura/retrato_offscreen.py,25;32,gui/main.glade,código+prosa,2,"quem cita? a própria janela, ou instrumento que só existe para ela",SAI-COM-A-JANELA,o arquivo inteiro some na GTK-3; a citação vai junto
scripts/i18n_extract.sh,22,gui/main.glade,código,1,"quem cita? script, que fica (código)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
scripts/install_fonts.sh,6;67,gui/theme.css,prosa,2,"quem cita? script; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
scripts/paleta_da_casa.py,23,gui/theme.css,prosa,1,"quem cita? script; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
scripts/portao_alvo_tem_dono.py,40;108,app/app.py,import+prosa,2,"quem cita? a própria janela, ou instrumento que só existe para ela",SAI-COM-A-JANELA,o arquivo inteiro some na GTK-3; a citação vai junto
scripts/validar-caducos.py,30;67,gui/main.glade,prosa,2,"quem cita? script, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
scripts/validar-fala-de-tela.py,623,app/app.py,prosa,1,"quem cita? script, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/app.py` não: esta citação precisa de outra fonte, ou de reescrita"
scripts/validar-palavra-de-tela.py,16;132;258,gui/main.glade,código+prosa,3,"quem cita? script, que fica (código+prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
scripts/validar-referencias-docs.py,30;31;390;391;759,gui/main.glade,prosa,5,"quem cita? script, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/__init__.py,1,app/app.py,prosa,1,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/app.py` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/config/secao_controles.py,91,app/app.py,prosa,1,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/app.py` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/config/secao_exame.py,163;1211,app/app.py,prosa,2,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/app.py` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/config/secao_exame.py,217;218,gui/theme.css,prosa,2,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/actions/config/secao_janela.py,492,gui/main.glade,prosa,1,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/config/secao_janela.py,91;97;98,gui/theme.css,prosa,3,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/actions/config/secao_mesa.py,412;578;859,app/app.py,prosa,3,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/app.py` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/config/secao_mesa.py,365;370;1388,gui/theme.css,prosa,3,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/actions/config/secao_orcamento.py,520,gui/main.glade,prosa,1,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/daemon_actions.py,1097;2303,gui/main.glade,prosa,2,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/emulation_actions.py,1065,app/app.py,prosa,1,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/app.py` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/emulation_actions.py,167;172;1063,gui/main.glade,prosa,3,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/home_actions.py,2090,gui/main.glade,prosa,1,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/home_actions.py,1150;1151,gui/theme.css,prosa,2,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/actions/input_actions.py,14,gui/main.glade,prosa,1,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/jogar/painel.py,23,gui.ponte_da_tela,prosa,1,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.ponte_da_tela` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/actions/lightbar_actions.py,61;86,gui/main.glade,prosa,2,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/perfis_web.py,6;575,gui.ponte_da_tela,prosa,2,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.ponte_da_tela` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/actions/profiles_actions.py,819;2267,gui/main.glade,prosa,2,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/profiles_actions.py,482;2704,gui/theme.css,prosa,2,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/actions/rumble_actions.py,83;103;512;577,gui/main.glade,prosa,4,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/rumble_actions.py,566;628,gui/theme.css,prosa,2,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/actions/status_actions.py,1885,app/app.py,prosa,1,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/app.py` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/actions/status_actions.py,328;450;3089,gui/main.glade,prosa,3,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/app.py,279;305,app/main.py,prosa,2,"quem cita? a própria janela, ou instrumento que só existe para ela",SAI-COM-A-JANELA,o arquivo inteiro some na GTK-3; a citação vai junto
src/hefesto_dualsense4unix/app/app.py,284;289,gui/main.glade,código,2,"quem cita? a própria janela, ou instrumento que só existe para ela",SAI-COM-A-JANELA,o arquivo inteiro some na GTK-3; a citação vai junto
src/hefesto_dualsense4unix/app/compact_window.py,13;95,app/app.py,prosa,2,"quem cita? a própria janela, ou instrumento que só existe para ela",SAI-COM-A-JANELA,o arquivo inteiro some na GTK-3; a citação vai junto
src/hefesto_dualsense4unix/app/constants.py,12,gui/main.glade,código,1,"quem cita? motor, que fica (código)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/gui_dialogs.py,850,gui/theme.css,prosa,1,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/main.py,151,app/app.py,import,1,"quem cita? a própria janela, ou instrumento que só existe para ela",SAI-COM-A-JANELA,o arquivo inteiro some na GTK-3; a citação vai junto
src/hefesto_dualsense4unix/app/telas/__init__.py,6,gui.ponte_da_tela,prosa,1,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.ponte_da_tela` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/telas/vibracao.py,150,gui/main.glade,código,1,"quem cita? motor, que fica (código)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/theme.py,19;37;407,gui/theme.css,código+prosa,3,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/widgets/campo_de_busca.py,19,app/main.py,prosa,1,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/main.py` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/app/widgets/controller_card.py,138,gui.widgets,import,1,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.widgets` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/widgets/controller_card.py,3910,gui/theme.css,prosa,1,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/widgets/external_card.py,770,gui/theme.css,prosa,1,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/widgets/painel_no_jogo.py,142;146,gui/theme.css,prosa,2,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/app/widgets/sensor_widgets.py,54,gui/theme.css,prosa,1,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/core/rumble.py,225,gui/main.glade,prosa,1,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/daemon/subsystems/hotkey.py,601,app/app.py,prosa,1,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/app.py` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/daemon/subsystems/hotkey.py,288,gui/theme.css,prosa,1,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/gui/aba_conexoes.py,6,gui.ponte_da_tela,prosa,1,"quem cita? gui; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.ponte_da_tela` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/gui/aba_sistema.py,8,gui.aba_sistema,prosa,1,"quem cita? gui; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.aba_sistema` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/gui/aba_sistema.py,4,gui.ponte_da_tela,prosa,1,"quem cita? gui; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.ponte_da_tela` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/gui/aba_sistema.py,93,gui/main.glade,código,1,"quem cita? gui, que fica (código)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/gui/ponte_da_tela.py,14,gui.ponte_da_tela,prosa,1,"quem cita? gui; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.ponte_da_tela` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/gui/widgets/__init__.py,1,gui.widgets,prosa,1,"quem cita? gui; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.widgets` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/gui/widgets/__init__.py,10,gui.widgets.button_glyph,import,1,"quem cita? gui; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.widgets.button_glyph` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/gui/widgets/__init__.py,14,gui.widgets.stick_preview_gtk,import,1,"quem cita? gui; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.widgets.stick_preview_gtk` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/integrations/cor_do_plastico.py,194,gui/theme.css,prosa,1,"quem cita? motor; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/integrations/desktop_notifications.py,104;267,app/app.py,prosa,2,"quem cita? motor, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/app.py` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/integrations/storm_doctor.py,45;55;69;452;493,gui/main.glade,código+prosa,5,"quem cita? motor, que fica (código+prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `gui/main.glade` não: esta citação precisa de outra fonte, ou de reescrita"
src/hefesto_dualsense4unix/interface/__init__.py,30,gui.aba_sistema,prosa,1,"quem cita? interface-nova; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.aba_sistema` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
src/hefesto_dualsense4unix/interface/aba05.py,258;273;284;1748;1766,gui/main.glade,código+prosa,5,quem cita? a INTERFACE NOVA (código+prosa),NUNCA-DEVIA-CITAR,"a tela nova cita `gui/main.glade` por hábito ou por falta de dono; o dono novo é do motor (GTK-2), e a citação se corrige aqui"
src/hefesto_dualsense4unix/interface/aba06.py,1014,gui/main.glade,prosa,1,quem cita? a INTERFACE NOVA (prosa),NUNCA-DEVIA-CITAR,"a tela nova cita `gui/main.glade` por hábito ou por falta de dono; o dono novo é do motor (GTK-2), e a citação se corrige aqui"
